Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Complement Ther Med	103	103	90	76	111	103	179	132	295	103	277	222	467
Compr Psychiatry	194	194	206	169	212	194	148	100	234	194	358	301	450
Comput Biol Chem	46	46	129	98	153	46	66.5	46	126	46	208	170	274
Comput Geom	1	1				1				1			
Comput Intell Neurosci	26	26				26	133.5	104	155	26			
Comput Math Methods Med	491	491				491	72	52	102.5	491			
Comput Med Imaging Graph	62	62		205		62	200	150	274	62		323	
Comput Methods Appl Mech Eng	2	2				2				2			
Comput Methods Programs Biomed	250	250	115	99	143	250	195.5	141	321	250	328	262	476
Comput Stat Data Anal	1	1				1				1			
Comput Struct Biotechnol J	92	92				92	85	61	105.5	92		59.5	
Comput Vis Image Underst	1	1				1				1			
Comput. Biol. Med.	257	257	93	74	108	257	269	164	422	257	351	249	525
Confl Health	19	19				19	173	158.5	193	19		106.5	
Congenit Anom (Kyoto)	14	14	205.5	163	233	14	45.5	30	94	14	257	215	261
Congest Heart Fail	31	31				31	81	51	114	31			
Conscious Cogn	132	132	98	71.5	121	132	157	113	204	132	256	199.5	332
Conserv. Biol.	120	120	242	221.5	269	120	179	127.5	239.5	120	433	359	482
Cont Lens Anterior Eye	52	52	213.5	183	230	52	135	104.5	188.5	52	347	310	418.5
Contact Derm.	76	76	184	151.5	217	76	48.5	30	73	76	232.5	199	273.5
Contemp Clin Trials	145	145	71	57	93	145	100	76	128	145	177	139	214
Contemp Oncol (Pozn)	161	161		91		161	110	51	196	161	343	163	
Contraception	177	177	171	123	222	177	102	67	147	177	276	231	339
Contrast Media Mol Imaging	15	15				15	210	171	281.5	15			
Coord Chem Rev	1	1				1				1			
Core Evid	1	1				1				1			
Cortex	226	226	424.5	263		226	166.5	118	227	226	609.5	444	
Cost Eff Resour Alloc	20	20				20	206.5	163.5	340.5	20		248	
Cough	21	21				21	148	71	182	21		17	
CPT Pharmacometrics Syst Pharmacol	32	32				32	96	68.5	116	32			
Craniomaxillofac Trauma Reconstr	63	63	305	284.5	376.5	63	5	2	16.5	63	348	286.5	389.5
Crim Behav Ment Health	19	19	185	72	222.5	19	169	147	239	19	374	330	425
Crit Care	166	166				166	165.5	128	213	166		78	
Crit Care Res Pract	43	43				43	66	55.5	100.5	43	140	29	
Crit Public Health	5	5				5				5	297	297	562
Crit Ultrasound J	7	7				7	132	111.5	133.5	7	87	70	
Crit. Rev. Oncol. Hematol.	130	130	169	148	200	130	146	107	196	130	325	293	361
Cryobiology	89	89	93	79	107	89	90	74	125	89	191	164	224
Cryst Growth Des	4	4				4				4			
Cuad Bioet	26	26				26	68.5	46	180	26			
Curationis	5	5		112		5	432	367	443	5	438	373	445
Curr Aging Sci	10	10	69	43	330	10	154	66	248	10	337.5	264	447
Curr Alzheimer Res	67	67	112	66	198.5	67	249	197	406	67	424	320	496.5
Curr Cancer Drug Targets	55	55	101	59	211	55	168	95	255.5	55	320	250	408
Curr Cardiol Rev	10	10	164.5	152	198	10	163	85	180	10	347	314	367
Curr Chem Genomics Transl Med	8	8				8	46	24	62	8			
Curr Clin Pharmacol	16	16	182	4	266	16	25.5	11	218.5	16	185	15	379
Curr Comput Aided Drug Des	24	24	124	51	195.5	24	354	160.5	487	24	498.5	401.5	604
Curr Diabetes Rev	35	35	76	59	105	35	168	127.5	193	35	237	211.5	285.5
Curr Drug Abuse Rev	11	11	212	58		11	186	128.5	322	11	138	124.5	296
Curr Drug Deliv	17	17	161	127	241	17	58	39	89	17	239	197	308
Curr Drug Discov Technol	9	9	174	174	338	9	80	41	80	9	254	254	395
Curr Drug Saf	23	23	51	34		23	64	31.5	145	23	92	30.5	161
Curr Drug Targets	71	71	71	48.5	102.5	71	80	62.5	113.5	71	167	139	213.5
Curr Gene Ther	16	16	90	72.5	111	16	78	58.5	102.5	16	178	145	191
Curr Gerontol Geriatr Res	19	19				19	95	66	125.5	19		189	
Curr Health Sci J	9	9				9	390	53	394	9	336	332	
Curr Hypertens Rev	6	6		200		6	142.5	120	182	6	180	100	364
Curr Immunol Rev	1	1				1				1			
Curr Med Imaging Rev	1	1				1				1			
Curr Mol Pharmacol	7	7	27	16		7	80	66	324.5	7	578	91.5	
Curr Neuropharmacol	34	34	131	111	168	34	90	60	116	34	225.5	194	274
Curr Neurovasc Res	15	15	62	60.5	71.5	15	92	36	103	15	153	96.5	167
Curr Nutr Food Sci	1	1				1				1			
Curr Opin Chem Biol	132	132	64	48	74	132	87.5	64	105	132	150	126.5	167
Curr Opin Pharmacol	111	111	85	67.5	101	111	66	47	84	111	160	133.5	167
Curr Opin Virol	61	61	52	24	88	61	52	22	72	61	108	85	128
Curr Org Chem	2	2				2				2			
Curr Pediatr Rev	1	1				1				1			
Curr Pharm Biotechnol	110	110		718		110	76.5	46	155	110	951.5	777	
Curr Pharmacogenomics Person Med	2	2				2				2			
Curr Probl Pediatr Adolesc Health Care	11	11	88	67.5	151.5	11	20	1	85	11	132	92	201
Curr Proteomics	2	2				2				2			
Curr Radiopharm	12	12	129	66	436	12	53	21.5		12	127	95.5	169.5
Curr Respir Med Rev	2	2				2				2			
Curr Rheumatol Rev	19	19				19	174	120	365	19	183	92.5	299
Curr Stem Cell Res Ther	36	36	91	20	105.5	36	96	59.5	140.5	36	174	145	207
Curr Top Med Chem	207	207				207	65	38.5	114.5	207		77.5	
Curr Urol	42	42	214	124	265	42	40.5	19	50	42	259	155	308
Curr Vasc Pharmacol	69	69	415	300	475	69	127	59	156	69	535	412	603
Curr. Biol.	368	368	55	48	67.5	368	110	71	146	368	165	119.5	207
Curr. Drug Metab.	51	51	189	62.5	299.5	51	101	59	183.5	51	304	234.5	435
Curr. Genet.	34	34	87	49	140	34	75	34	100	34	179	141	218
Curr. Genomics	24	24	48	23	68	24	86.5	59	119.5	24	142.5	107	200
Curr. HIV Res.	29	29	51	15		29	66	49	75	29	100	72	265
Curr. Med. Chem.	348	348				348	118.5	73.5	178	348	167.5	94	
Curr. Microbiol.	213	213	159	143	172	213	76	49	116	213	229	205	278
Curr. Mol. Med.	68	68	61.5	37.5	154	68	158	113.5	205	68	225	174	361
Curr. Opin. Biotechnol.	161	161	171	132	238	161	69	44	92	161	242	204	305
Curr. Opin. Cell Biol.	100	100	102	88	115	100	53	36	81	100	168	139	186
Curr. Opin. Genet. Dev.	90	90	106	74	132	90	58.5	28	94	90	180.5	146	193
Curr. Opin. Immunol.	87	87	64	44	88	87	41	14	62	87	111	94.5	124.5
Curr. Opin. Microbiol.	86	86	82	65	100	86	48	28	68	86	134	116	146
Curr. Opin. Neurobiol.	170	170	156	138	190	170	36.5	22	58	170	204.5	174	231
Curr. Opin. Plant Biol.	98	98	78	49	101	98	42.5	24	86	98	135	115	144
Curr. Opin. Struct. Biol.	115	115	71	47	108.5	115	71	40	95.5	115	144	121	174
Curr. Pharm. Des.	606	606		66		606	36	22	50	606	128	60	
Curr. Protein Pept. Sci.	29	29	190	152	231	29	85	67	117	29	261	248	311
Cytojournal	37	37				37	87	63	126	37			
Cytokine	337	337	88	69	109	337	133	95	182	337	233	180	284
Cytokine Growth Factor Rev.	41	41	118	87	132	41	53	29	92	41	187	127	233
Cytometry A	117	117	94	79	122	117	136	81	199	117	252	181	311
Cytometry B Clin Cytom	84	84		107.5		84	151	89	197.5	84		274.5	
Cytoskeleton (Hoboken)	50	50	68	51	86	50	102	71	138	50	162	142	208
Cytotechnology	118	118	255	182	314	118	119	83	162	118	379.5	302	457
Cytotherapy	149	149	140	122	162	149	121	77	167	149	264	230	318
Dairy Sci Technol	1	1				1				1			
Daru	30	30				30	84.5	36	125	30		79	
Decis Support Syst	1	1				1				1			
Dement Geriatr Cogn Disord	2	2				2				2			
Dent Mater	175	175	79	65	95	175	184	100.5	248.5	175	258	194	332
Depress Anxiety	146	146	162	113	210	146	123	81	177	146	297	225	348
Depress Res Treat	26	26				26	83.5	53	105	26			
Dermatoendocrinol	32	32		111		32	85.5	55.5	124.5	32	34	30	149
Dermatol Pract Concept	28	28	59	46.5		28	68.5	35	89.5	28	223	122	
Dermatol Reports	1	1				1				1			
Dermatol Res Pract	34	34				34	46.5	34	66	34			
Dermatol Ther (Heidelb)	13	13				13				13	176	120	178
Dermatol. Online J.	49	49				49	0	0	0	49			
Dermatology (Basel)	208	208				208	90	57	126	208		116	
Dev Cogn Neurosci	60	60	131	103.5	166.5	60	141	116	200	60	286	233.5	350
Dev Disabil Res Rev	11	11	164	91	210	11	187	98.5	266	11	283	234.5	363.5
Dev Neurobiol	70	70	140	125	201	70	100	67	148	70	262	216	302
Dev Psychobiol	127	127	378	285.5	412	127	142	101	187	127	511	437.5	559
Dev Sci	74	74	198	163	220	74	256	132	413	74	468.5	344	598
Dev. Biol.	373	373	83	72	95	373	122	78	173	373	214	164	265
Dev. Cell	138	138	47.5	40	55	138	182	148	253	138	235	195	303
Dev. Comp. Immunol.	178	178	158	122	282	178	58.5	37	84	178	254	174	344
Dev. Dyn.	119	119	100	87	107.5	119	121	57	148.5	119	223	162	260
Dev. Genes Evol.	33	33	118	108	145	33	97	83	114	33	219	193	253
Dev. Growth Differ.	80	80	59	47	89	80	46	27	71.5	80	120	102	157
Dev. Neurosci.	66	66				66	121	92	162	66	196	81	
Diabet Foot Ankle	16	16				16	56.5	45	80.5	16			
Diabet. Med.	95	95	136	104	155.5	95	155	119	184	95	287	246	325
Diabetes Metab J	18	18	117	88	134	18	85.5	66	105	18	196	171	232
Diabetes Metab Syndr Obes	1	1				1				1			
Diabetes Metab.	63	63	118	86.5	187	63	92	44	130	63	229	145.5	309
Diabetes Metab. Res. Rev.	58	58	135.5	105	152	58	159.5	99	232	58	290.5	230	381
Diabetes Obes Metab	175	175	172	138	200	175	83	53	133.5	175	258	197	329
Diabetes Res. Clin. Pract.	257	257	73	63	87	257	92	67	138	257	172	140	222
Diabetes Ther	19	19				19				19	158	119	246
Diabetol Metab Syndr	51	51				51	153	66	188	51		106	
Diabetologia	292	292	109	100	116	292	80	58	115.5	292	192.5	165.5	224
Diagn Pathol	111	111				111	62	37	84	111			
Diagn Ther Endosc	24	24				24	58.5	31	108.5	24		98	
Diagn. Cytopathol.	130	130	392	303	590	130	164.5	100	232	130	594.5	504	699
Diagn. Microbiol. Infect. Dis.	377	377	102	93	110	377	90	62	114	377	195	164	227
Differentiation	48	48		108.5		48	157	119	189	48		243	
Dig Endosc	135	135	258	113	295	135	57	38	79.5	135	308	153	389
Dig Liver Dis	194	194	174.5	148	200	194	101	61	135	194	280.5	239	319
Dig Surg	82	82				82	108	62	191	82		316	
Dig. Dis. Sci.	402	402	148	124	167	402	110	68	173	402	260.5	220	322
Digestion	77	77				77	101	79	144	77		113	
Dis. Markers	146	146				146	82	63	104	146			
Disabil Health J	77	77	153	133	167	77	163	139	251	77	340	292	382
Discrete Math	1	1				1				1			
Diving Hyperb Med	18	18	63.5	53	76	18	197	69	221	18	243	150	273
DNA Repair (Amst.)	106	106	75.5	70	84	106	92.5	58	134	106	171	132	216
Doc Ophthalmol	37	37	121	96	136	37	119	80	154	37	218	192	293
Dokl. Biochem. Biophys.	109	109				109				109			
Dokl. Biol. Sci.	159	159				159				159	203	141	
Domest. Anim. Endocrinol.	59	59	82	65.5	103.5	59	106	69	122.5	59	172	155	223.5
Drug Alcohol Depend	361	361	178	133	201	361	110	82	151	361	286	252	332
Drug Alcohol Rev	68	68	166	144.5	217	68	134	69	183	68	310.5	255	382.5
Drug Des Devel Ther	11	11				11				11			
Drug Dev. Res.	2	2				2				2			
Drug Discov. Today	141	141	131	108	144	141	109	80	156	141	243	205	296
Drug Healthc Patient Saf	1	1				1				1			
Drug Metab Lett	3	3				3				3			
Drug Metabol Drug Interact	27	27				27	64	42	83.5	27			
Drug Resist. Updat.	8	8				8	131	55	139	8			
Drug Test Anal	119	119	362	186.5	737.5	119	61	30	94.5	119	432	229	812
Drugs Context	9	9	58	21	126	9	2	2	9	9	68	22	128
Dtsch Arztebl Int	50	50	94	69	116	50	139	98	198	50	228	186	297
Dyslexia	10	10	114	59	169	10	357	0	510	10	493.5	59	731
Dysphagia	43	43	228	175.5	254	43	137	88.5	216.5	43	369	298	482
Early Hum. Dev.	142	142	102	87	154	142	119	91	169	142	244	198	292
Early Interv Psychiatry	71	71	424	267.5	519.5	71	156	101	192	71	594	401	684
East. Mediterr. Health J.	35	35	423	413	457.5	35	83	73	88	35	519	489	560
Eat Behav	82	82	78	54	89	82	174	152	203	82	250.5	225	309
Eat Weight Disord	60	60	190	101	281	60	168	92	227	60	444	253	497.5
Ecancermedicalscience	133	133				133				133			
Ecohealth	36	36	86	53.5	104	36	209	116.5	389	36	314	176.5	448.5
Ecol Evol	421	421	69	57	82	421	75	40	104	421	145	111	177
Ecol. Lett.	150	150	94	81	115	150	84	55	133	150	189	163	230
Econ Hum Biol	49	49	318	213	431	49	265	152	332	49	600	417	748
Econ. Bot.	2	2				2				2			
Ecotoxicol. Environ. Saf.	361	361	99	90	111	361	97	75	137	361	203	169	240
Einstein (Sao Paulo)	41	41				41	179	142	238	41			
EJNMMI Res	49	49				49	67	49	87	49			
Electrolyte Blood Press	3	3				3				3			
Electrophoresis	410	410	111	94	137	410	74.5	47	106	410	189	163	243
Elife	96	96				96	95.5	73	135.5	96		84	
EMBO J.	254	254	61	54	72	254	142	85	194	254	207.5	141	253
EMBO Mol Med	162	162	70.5	59	80	162	147	99	190	162	211	162	262
EMBO Rep.	123	123	61	51	70	123	135	76	161	123	193	139.5	228
Emerg Health Threats J	5	5				5	314	99	314	5	71	65	
Emerg Med Int	44	44				44	65	29	87	44			
Emerg Med Pract	4	4				4				4			
Emerg Radiol	85	85	156	137	193	85	47	31	78	85	222	197	253
Emerg Themes Epidemiol	9	9				9	234	176	246	9		29	
Encephale	48	48	366	274.5	421	48	306.5	196.5	459	48	630	557	833.5
Endeavour	18	18	144	109	164	18	57	15	201	18	182	132	341
Endocr Connect	13	13	100	77	117	13	13	10	14	13	114	79	132
Endocr Metab Immune Disord Drug Targets	26	26	72	49	72	26	9.5	0	87	26	72	72	141
Endocrine	174	174	251	211	280	174	66	44	93	174	312	263	367
Endocrinol Diabetes Metab Case Rep	36	36				36	11	6.5	28.5	36			
Endocrinol Metab (Seoul)	16	16	68	26.5	180.5	16	48.5	37.5	68	16	126.5	92.5	251
Endocrinol Nutr	75	75	259	226.5	308.5	75	68	49	99.5	75	322	281	404
Endokrynol Pol	30	30				30	0	0	0	30			
Endosc Ultrasound	23	23	93	31.5		23	38	29.5	55.5	23	69	37.5	137.5
Energy Policy	1	1				1				1			
Enferm Clin	40	40				40	158	95	181	40			
Enferm Intensiva	16	16				16	136	63	175.5	16			
Enferm. Infecc. Microbiol. Clin.	109	109	305	215	476	109	75	16	107	109	425	287	580
Environ Geochem Health	79	79	249	189	269.5	79	136	100	193	79	387	290	482
Environ Health	63	63				63	134	101.5	179.5	63		79.5	
Environ Health Prev Med	59	59	196	162.5	227.5	59	103	58	177.5	59	299	246	387
Environ Health Toxicol	19	19				19	97	73.5	134.5	19		166.5	
Environ Int	231	231	74	65	89.5	231	123	81	156	231	200	163	242
Environ Manage	211	211	84	65	109	211	324	252	432	211	418	348.5	526
Environ Microbiol Rep	82	82	137	129	161	82	99.5	71	161	82	244	191	299
Environ Monit Assess	698	698	227.5	178	266	698	173.5	130	225	698	402.5	334	472
Environ Sci Pollut Res Int	874	874	186	158	214	874	86	63	117	874	285	238	335
Environ. Eng. Sci.	9	9	134	82	138	9	304	206	426	9	429	285	548
Environ. Exp. Bot.	3	3				3				3			
Environ. Health Perspect.	212	212	70	59	85	212	221	162	265.5	212	297.5	225	392
Environ. Microbiol.	193	193	178	141	216	193	105	70	160	193	287	233	387
Environ. Mol. Mutagen.	82	82	79	67	137	82	74	51	132	82	185	142	251
Environ. Pollut.	559	559	115	105	125	559	108	75.5	150	559	226	194	269.5
Environ. Res.	109	109	104	69	128	109	162	119	206	109	252	216	314
Environ. Toxicol.	98	98	642	572	802	98	134	91	183	98	825	734	907
Environ. Toxicol. Chem.	295	295	117	104.5	130	295	99	71.5	151	295	223	188	267.5
Environ. Toxicol. Pharmacol.	206	206	95	64	114	206	135	92	174	206	229	178	273
Environmetrics	2	2				2				2			
Enzyme Microb. Technol.	163	163	96	75.5	120	163	99	74.5	124.5	163	205	164	259
Enzyme Res	27	27				27	84	41	115	27			
Epidemics	22	22	88	60	109	22	201	147	266	22	280	247	365
Epidemiol Health	11	11				11	89	62	148	11		313	
Epigenetics Chromatin	26	26				26	66.5	44	117	26			
Epilepsy Behav	391	391	92	78	110	391	52	24	81	391	151	128	190
Epilepsy Behav Case Rep	54	54				54	13	3	19	54			
Epilepsy Curr	1	1				1				1			
Epilepsy Res Treat	33	33				33	98	53	125	33			
Epilepsy Res.	243	243	134	85	172	243	161	111.5	210.5	243	288	249.5	330
EPMA J	15	15				15	53	39	62.5	15		74.5	
Equine Vet. J.	91	91	278	268	308	91	188	124.5	259.5	91	460	405.5	563.5
Esophagus	5	5				5	229	82	229	5			
Eur Addict Res	53	53	149	109	240	53	131	102	169	53	255	193	326
Eur Ann Allergy Clin Immunol	11	11				11				11		4	
Eur Ann Otorhinolaryngol Head Neck Dis	46	46	380.5	315	431	46	100.5	35	200	46	478	423	613
Eur Arch Otorhinolaryngol	454	454	258	201	315	454	95.5	65	131	454	362.5	293	426
Eur Arch Paediatr Dent	55	55	228	168.5	252	55	92	66	128.5	55	313	289	344
Eur Arch Psychiatry Clin Neurosci	80	80	248	111	279	80	132	62	172.5	80	392	215	440
Eur Child Adolesc Psychiatry	88	88	181.5	158	262	88	155	121	225.5	88	368.5	282	458.5
Eur Eat Disord Rev	38	38	129	105	166	38	130	95	176	38	270	207	315
Eur Econ Rev	1	1				1				1			
Eur Heart J Acute Cardiovasc Care	29	29	126	90	158	29	86	65	122	29	206	164	258
Eur J Clin Nutr	157	157	90	75	113	157	147	104	197	157	260	206	302
Eur J Drug Metab Pharmacokinet	30	30	301	211	367	30	223	125	240	30	479.5	384	591
Eur J Health Econ	72	72	409	383.5	444	72	233	151	334.5	72	653	568.5	754
Eur J Histochem	21	21				21	70	47	92	21		99	
Eur J Hosp Pharm Sci Pract	4	4				4				4			
Eur J Inorg Chem	5	5				5				5	141	141	153
Eur J Med Chem	859	859	72	63	92	859	97	67	133	859	178	143	235.5
Eur J Med Genet	146	146	73	62	83	146	129	78	210	146	207.5	153	277
Eur J Microbiol Immunol (Bp)	21	21	57	46	86	21	8	5	13	21	76	55	99
Eur J Nutr	140	140	300	221	334	140	123.5	96.5	170	140	431.5	373	464.5
Eur J Oncol Nurs	87	87	226	172	264	87	141	99.5	182.5	87	370	297	434
Eur J Oper Res	1	1				1				1			
Eur J Orthop Surg Traumatol	207	207	380	277	405	207	69	42	112.5	207	450	332.5	503
Eur J Pharm Biopharm	313	313	164	129	204	313	122	90	177	313	288	253	351
Eur J Pharm Sci	341	341	80	66	103	341	112	83	147	341	197	165	259
Eur J Plast Surg	4	4				4				4			
Eur J Popul	4	4				4				4			
Eur J Psychotraumatol	81	81				81	108	71	151	81		142	
Eur J Radiol	376	376	144	121	172	376	90	57	133.5	376	250.5	209	310.5
Eur J Surg Oncol	233	233	97	84	119	233	128	88	172	233	228	189	280
Eur J Trauma Emerg Surg	2	2				2				2			
Eur J Vasc Endovasc Surg	238	238	88	81	98	238	110	77	153	238	212.5	164	253
Eur Neuropsychopharmacol	164	164	246	150.5	327	164	138.5	94	187.5	164	377	299.5	458.5
Eur Orthop Traumatol	4	4				4				4			
Eur Phys J E Soft Matter	77	77	23	10	59	77	147	104	198	77	179	135	229
Eur Radiol	380	380	176	166	189	380	78	62.5	102	380	257	232.5	285
Eur Rev Aging Phys Act	1	1				1				1			
Eur Spine J	420	420	135	85	182	420	168	93	245	420	320.5	228	433
Eur Surg	3	3				3				3			
Eur Surg Res	48	48				48	115	79.5	162	48		309	
Eur Thyroid J	49	49				49				49	154	118	201
Eur. Biophys. J.	78	78	93	79	109	78	77	63	98	78	174	156	246
Eur. J. Appl. Physiol.	217	217	145	114	209	217	122	86	164	217	269	229	346
Eur. J. Cancer	404	404	124	111	139	404	88.5	58	128.5	404	216	177	260.5
Eur. J. Cell Biol.	25	25		108		25	98	62	134	25		258	
Eur. J. Clin. Invest.	170	170	89	82	99	170	128	94	170	170	224	182	262
Eur. J. Clin. Microbiol. Infect. Dis.	231	231	171	160	179	231	46	34	62	231	214	201	236
Eur. J. Clin. Pharmacol.	162	162	144	127	185	162	88	56	125	162	243	194	315
Eur. J. Epidemiol.	90	90	52	20	70	90	159	97	217	90	203	132	257
Eur. J. Hum. Genet.	174	174	270.5	262	284	174	131	98	159	174	404	378	428
Eur. J. Immunol.	344	344	84	73	99	344	137	97	193	344	220.5	185	283
Eur. J. Intern. Med.	158	158	125	101	177	158	82.5	54	120	158	223	180	283
Eur. J. Med. Res.	30	30				30	157	122	197	30		119	
Eur. J. Neurol.	219	219	176	147.5	212.5	219	90	62	117.5	219	275	226	322.5
Eur. J. Neurosci.	368	368	103	94	115	368	108	68	174	368	208	172	268.5
Eur. J. Nucl. Med. Mol. Imaging	259	259	127	112	139	259	87	59.5	117.5	259	213	175	250
Eur. J. Obstet. Gynecol. Reprod. Biol.	462	462	93	80	121	462	180	136	223	462	276	231	327
Eur. J. Paediatr. Neurol.	120	120	169	146	194.5	120	129	89	199.5	120	301	238	366
Eur. J. Pediatr.	250	250	141.5	123	171	250	65	43	92	250	213	178	290
Eur. J. Pharmacol.	678	678	70	50	88	678	132	97	172	678	209.5	171	257
Eur. J. Protistol.	39	39	230	180.5	255.5	39	124	97.5	210	39	400	274	462.5
Eur. Neurol.	180	180		124		180	93	69	137	180		167.5	
Eur. Psychiatry	66	66	374	277	467	66	116.5	71	160	66	487	342	592
Eur. Urol.	199	199	175	130	235.5	199	56	46	71	199	244	178	316
Eurasian J Med	19	19	97	85	147	19	66	44	95.5	19	178	134	242.5
EURASIP J Bioinform Syst Biol	8	8				8	137.5	91.5	334.5	8		329	
European J Org Chem	9	9				9				9	101	63	118
European J Pediatr Surg Rep	4	4				4				4			
Eval Program Plann	38	38	149	141	173	38	258	211	337	38	434.5	324	532
Evid Based Complement Alternat Med	1965	1965				1965	77	54	109	1965			
Evid Based Spine Care J	8	8	119.5	74	148	8	111	68	151	8	208.5	187.5	268
Evodevo	18	18				18	69	59	76	18		70	
Evol Appl	76	76	144	124	158	76	137	102	166.5	76	283	210	344
Evol Biol	6	6				6	147	100	194	6		252	
Evol. Anthropol.	4	4				4				4			
Evol. Bioinform. Online	1	1				1				1			
Evolution	279	279	151	140	162.5	279	136	97	202.5	279	301	240	365
Exp Brain Res	416	416	75	65	89	416	117.5	75	175	416	201.5	146.5	267
Exp Hematol Oncol	25	25				25	40	11	57	25			
Exp Neurobiol	20	20				20	11	7	28.5	20	26	6.5	
Exp Ther Med	730	730	75	66	87	730	72	60	85	730	150	131	169
Exp Transl Stroke Med	10	10				10	20.5	12	63	10			
Exp. Appl. Acarol.	86	86	194	174	208	86	109	76	165	86	305.5	270	370
Exp. Cell Res.	352	352	89	72	112	352	91	55	131	352	183	160	226
Exp. Eye Res.	242	242	78	66	91	242	113	79	148	242	205	156	245
Exp. Gerontol.	181	181	88	65	174	181	117	74	158	181	229	176	320
Exp. Hematol.	95	95	112	99	120	95	104	53	141	95	220	168.5	263
Exp. Mol. Med.	15	15				15	130	61	187	15			
Exp. Mol. Pathol.	66	66	88	72	121	66	96	22	191	66	194.5	143	293
Exp. Neurol.	227	227	124	87.5	200.5	227	94	64	139	227	247	188.5	289.5
Exp. Parasitol.	232	232	81	69.5	95	232	183	124	237	232	265	197	314.5
Exp. Toxicol. Pathol.	151	151	339	238.5	495	151	128	92	223.5	151	496	322	713.5
Explore (NY)	20	20				20				20			
Extrem Physiol Med	15	15				15	124	93.5	149	15	311	91.5	
Extremophiles	129	129	55	49	73	129	84	59	123	129	144	121	185
Eye (Lond)	106	106	116	102	132	106	161.5	122	202	106	282	217	319
Fam Process	1	1				1				1			
FEBS J.	562	562	68	58	95	562	77	55	111	562	160	133	212
FEBS Lett.	654	654	57	51	64	654	52	33	77	654	114.5	92	141
FEBS Open Bio	117	117				117	48	24	71	117			
FEMS Microbiol. Ecol.	210	210	143	130	159	210	116	89	160	210	268	227	320
FEMS Microbiol. Lett.	203	203	72	63.5	85	203	49	31.5	72	203	125	101	149
FEMS Microbiol. Rev.	35	35	189	147.5	259	35	138	106	210	35	351	284	425
FEMS Yeast Res.	55	55	95	84	120	55	97	55.5	126	55	212	151	241.5
Fertil. Steril.	601	601	115	102	123	601	79	46	116	601	194	154	232
Fetal. Diagn. Ther.	130	130		147		130	81	47	120	130	255	86	
Fibrogenesis Tissue Repair	14	14				14	69.5	41	93	14		42	
Fish Physiol. Biochem.	121	121	232	209	263	121	144	102	192	121	393	328	438
Fish Shellfish Immunol.	446	446	83	68	93	446	96	74	133	446	178	153	226
Fitoterapia	251	251	68	50	83	251	77	51.5	112	251	141	111	185.5
Fluids Barriers CNS	22	22				22	128	82	140	22	85.5	60	
Folia Histochem. Cytobiol.	46	46				46	0	0	110	46			
Folia Microbiol. (Praha)	80	80	226	189	249	80	179	135	270	80	417	353	484
Folia Morphol. (Warsz)	11	11	135	50	149	11	37	31.5	42.5	11	175	77	197
Folia Primatol.	29	29				29	215	158	287	29	179	72	270
Food Biophys	4	4				4				4			
Food Chem	1297	1297	197	174	222	1297	146	96	235	1297	347	297	432
Food Chem. Toxicol.	707	707	102	86	115	707	91	63	137	707	199	167	247.5
Food Environ Virol	22	22	91.5	13	120	22	75.5	51	96	22	162	152	171
Food Microbiol.	133	133	172	152	198	133	159	110	199	133	326	291	408
Food Nutr Res	41	41				41	150	65	215	41		182	
Food Sci Nutr	51	51	87	68.5	100	51	73	66	106	51	167	152	188
Foot (Edinb)	12	12	120	82.5		12	149	90	324.5	12	448.5	225.5	
Foot Ankle Surg	37	37	168	143	183	37	123	75	202	37	299	248	386
Forensic Sci Int Genet	139	139	117	93	184	139	109	77	185.5	139	272	203	330
Forensic Sci. Int.	430	430	98.5	82	130	430	165	107	249	430	284	223	374
Forensic Toxicol	1	1				1				1			
Found Phys	1	1				1				1			
Free Radic. Biol. Med.	353	353	129	106	150	353	131	90	171	353	262	222	308
Front Aging Neurosci	126	126				126	60	43	84	126			
Front Behav Neurosci	264	264				264	70	48.5	99	264			
Front Bioeng Biotechnol	25	25				25	53	30	72	25			
Front Cell Dev Biol	5	5				5	18	18	27	5			
Front Cell Infect Microbiol	141	141				141	60	42	91	141			
Front Cell Neurosci	333	333				333	66	49	89	333			
Front Chem	48	48				48	50	35	75	48			
Front Comput Neurosci	278	278				278	97.5	77	134	278			
Front Endocrinol (Lausanne)	240	240				240	69	42	102.5	240			
Front Evol Neurosci	1	1				1				1			
Front Genet	365	365				365	68	44	104	365			
Front Hum Neurosci	1243	1243				1243	93	65	129	1243			
Front Immunol	497	497				497	65	42	85	497			
Front Integr Neurosci	140	140				140	84	55	127	140			
Front Life Sci	1	1				1				1			
Front Med	38	38	100	83	134	38	125	76	209	38	254	172	309
Front Microbiol	525	525				525	74	48	106	525			
Front Mol Neurosci	61	61				61	66	42	97	61			
Front Neural Circuits	316	316				316	84.5	62	120	316			
Front Neuroanat	63	63				63	66	44.5	104	63			
Front Neuroendocrinol	15	15	84	60	130	15	134	105	148	15	216	171	240
Front Neuroenergetics	12	12				12	47.5	46	56	12			
Front Neuroeng	16	16				16	91	71	173	16			
Front Neuroinform	57	57				57	84	53	130	57			
Front Neurol	254	254				254	70	47	102	254			
Front Neurorobot	37	37				37	95	60	109	37			
