Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Br J Health Psychol		419.5			258		503.5	432	603.5
Br J Math Stat Psychol		525			447		620	367	696
Br J Oral Maxillofac Surg	290	195.5	343.5	115	87	171.5	407	324.5	481
Br J Psychol	520	464		461	190		633	554	669
Br J Soc Psychol		524			564.5		718	580	825.5
Br J Surg									
Br. J. Cancer	54	49	62	99	76	126	159.5	133	187
Br. J. Haematol.	104	94	115	69	52	91	176	156	197
Br. J. Pharmacol.	112	93	145	159	101	210	260	208	328
Brachytherapy				92	64	138			
Brain Behav	81	62	98	106.5	68	205	180.5	140.5	284
Brain Behav. Evol.				76	35	159		198	
Brain Behav. Immun.	123	97	182	85	57	122	228	173	305
Brain Cogn	92	76	104	220	135.5	334	311	227	405
Brain Dev.	319	288.5	342.5	146	96.5	188.5	452.5	390	505.5
Brain Lang	85	65	203	224	151	285	331	258	511.5
Brain Pathol.	191.5	166	211.5	76	37.5	104.5	277	225	315.5
Brain Res.	68	59	77	117	73	161	191	148	239
Brain Res. Bull.	75	55	92	79	52.5	114	158	127	192
Brain Sci				67	56	75			
Brain Stimul	267	190	329	127	93	160	412	313	469
Brain Struct Funct	391	364	432.5	122	84	149.5	518	462	568.5
Brain Topogr	198	161	242	123	89	181	318	290	398
Brain Tumor Pathol	297	255	322	93	54	140	397	362	459
Brain Tumor Res Treat									
Braz Dent J				120.5	75	254		231	
Braz J Anesthesiol				81	49	126			
Braz J Biol	317	283.5	339.5	162	108	206.5	441	413	533
Braz J Infect Dis				86	49	132			
Braz J Otorhinolaryngol				114	81	196			
Braz J Phys Ther				179	72	238			
Braz Oral Res				117	86	147			
Braz. J. Med. Biol. Res.	77	61	91	129	104	168	211	175	251
Braz. J. Microbiol.	130	81	151	308.5	224	440	436.5	305	566
Breast	137	105	226	147	99	187	308	244	366
Breast Cancer	504	149	646	100	58	133	579	229	768
Breast Cancer Res.				175	140	243		61.5	
Breast Cancer Res. Treat.	32	19	41	49	23	84	80	53	126
Breed. Sci.	123	81.5	141	95	79	140	220	189	236
Bull Environ Contam Toxicol	67	53	79	136	97	186	205	169	259
Bull Group Int Rech Sci Stomatol Odontol				0	0	0			
Bull Soc Pathol Exot	89	75	120	152.5	93	207	257	185	282
Bull. Math. Biol.	93	68	107	188	140	244	286	234	394
Bull. World Health Organ.	101	86	117	141	117	180	248	218	289
Burns	250	218	271	147	99	195	400	344	451
C. R. Biol.		40.5		74	50.5	164.5	95.5	39	222
CA Cancer J Clin	162	151	166	50	48	89	201	201	214
Cad Saude Publica	120	108	142	169	127	236	290	253	358
Calcif. Tissue Int.	125	100	153.5	106	74.5	163	258	196	308
Can Assoc Radiol J	434	159	472	122	4	199	556	159	676
Can J Anaesth	82	77	89.5	144	101	211	230	196	298
Can J Cardiol	163	105	230	52	29	88	240	155	308.5
Can J Diabetes	52	28	75	98.5	54.5	120	152	82.5	185
Can J Public Health				126	99	162			
Can Urol Assoc J									
Can. J. Ophthalmol.	153.5	127	186	103	78	156	243	237	307
Can. J. Vet. Res.	330	313	360	124.5	99	156	475	435	505
Cancer	151	131	193	71	52	99	230	199	281
Cancer Biol Med		24.5		41	28.5	61	52	29	79
Cancer Causes Control	78	70.5	88	128	90	158.5	208	166.5	250
Cancer Cell	49	40	55	257	175	447	310.5	235	486
Cancer Cell Int.				103	59.5	142.5			
Cancer Chemother. Pharmacol.	75	64	83	74	50	133	153	129	214
Cancer Cytopathol	187	161	213	68	45	84	254	204	292
Cancer Epidemiol	130	116	151	98	72	141	241	201	273
Cancer Gene Ther.	59	43.5	73	42	24.5	107	105.5	76.5	184
Cancer Genet		7		143	108	182	233	113.5	
Cancer Growth Metastasis									
Cancer Immunol. Immunother.	92	72	128.5	129	92	169	225	177	282
Cancer Inform									
Cancer Lett.	144	121	158	78	57	110	226	199	264
Cancer Med	84	67	104	72	44	102	157.5	123	195
Cancer Metab		72		115	70.5	135.5	144	72.5	
Cancer Microenviron	294	104	388	79	56	105	381	176	454
Cancer Radiother	103	75	203	32	5	99	126	91	338
Cancer Res Treat	135	88	154	64	45	83	196	127	297
Cancer Sci.	95	87	103	85	57	115	180	150.5	208.5
Cancer Treat. Rev.	262.5	222	298	85	57	128	356	299	385
Cancers (Basel)				42	35	56			
Carbohydr Polym	115	101	136.5	81	55	119	204	166	247
Carbohydr. Res.	79	74	97	56	45	74	142	126	171
Carbon Balance Manag				94	55	113	108	25.5	
Cardiol J				0	0	21			
Cardiol Res Pract				70	48	101			
Cardiol Ther							178	119	246
Cardiology				67	30	98		67	
Cardiorenal Med	88	52	118	87.5	34	98	186	131	198
Cardiovasc Diabetol				50.5	39	75			
Cardiovasc Diagn Ther	87	32	193	27	21	32	122	67	225
Cardiovasc Hematol Agents Med Chem	275.5	186		45	23	187	294	108	871
Cardiovasc Hematol Disord Drug Targets									
Cardiovasc Interv Ther	174	145.5	192	91	58	152	272.5	235	319
Cardiovasc Intervent Radiol	293	227	330	92	59	139	391	341	424
Cardiovasc J Afr	82	43		192.5	121	220	238.5	160	992
Cardiovasc Psychiatry Neurol				67	52.5	123			
Cardiovasc Revasc Med				47.5	31	88			
Cardiovasc Ultrasound				49	31.5	79			
Cardiovasc. Pathol.				68	40.5	95			
Caries Res.		95		108	71	191.5	265	81	622
Case Rep Anesthesiol				27	26	41			
Case Rep Cardiol				30	22.5	34.5			
Case Rep Crit Care				30	25.5	40			
Case Rep Dent				35	26	54			
Case Rep Dermatol Med				40	30	52			
Case Rep Emerg Med				32	24	47			
Case Rep Endocrinol				34	25	45.5			
Case Rep Gastrointest Med				28	24	34			
Case Rep Genet				29	21	46			
Case Rep Hematol				38	26.5	47			
Case Rep Infect Dis				39	28	55			
Case Rep Med				77	57	104			
Case Rep Nephrol				29	22	41			
Case Rep Neurol Med				31	22.5	40			
Case Rep Obstet Gynecol				33	26	44			
Case Rep Oncol Med				33	25	44			
Case Rep Ophthalmol Med				30	23	43			
Case Rep Orthop				34	25	50			
Case Rep Otolaryngol				36	25	49.5			
Case Rep Pathol				29	24	34			
Case Rep Pediatr				29	23	40.5			
Case Rep Psychiatry				31	22	42			
Case Rep Pulmonol				32	25.5	38			
Case Rep Radiol				28.5	23	42			
Case Rep Rheumatol				28	22	39			
Case Rep Surg				35	27	48.5			
Case Rep Transplant				29	23	39			
Case Rep Urol				38	26	58			
Case Rep Vasc Med				38	24	52			
Case Reports Hepatol				28.5	19	36			
Case Reports Immunol				37	31.5	60			
Caspian J Intern Med				106	58.5	149.5	653	104.5	
Catal Letters									
Catheter Cardiovasc Interv	267	205	350.5	116	77	175	385	308.5	507.5
Cell	37	30	46.5	180	128	253	192	148.5	247.5
Cell Biochem. Funct.	271	180.5	303	91.5	60	133	375.5	279	412.5
Cell Biol. Int.	131	102	147	67	47	102.5	203	157	250
Cell Biol. Toxicol.	67	55	76	129	73	152	188	147.5	206
Cell Biosci				55	37	123			
Cell Calcium	85	71.5	98	71	43	135	172	120	291.5
Cell Commun. Signal				103.5	69	143		79	
Cell Death Differ.	126	112	160	151	108	187	287.5	251	326
Cell Death Dis				106	70	173			
Cell Div				122.5	82	127			
Cell Host Microbe	40	33	50	136	95.5	167	170	141	211
Cell J	137	71		197.5	118	242	314.5	276	345
Cell Logist				33	17	48			
Cell Metab.	39	26.5	50	179.5	149	211	218	184	256
Cell Mol Bioeng	113	16	113	95	95	120	208	136	208
Cell Prolif.	129	118	138	72	54	86	194	184	217
Cell Regen (Lond)				68	30	111			
Cell Rep	48	42	55	160	118	220	210	160	268
Cell Res.	103	66	120.5	94	68.5	106	191	136	243.5
Cell Stem Cell	71	56	81.5	195	149.5	318	268	210.5	396.5
Cell Stress Chaperones	194	177	213.5	52	36.5	72	246	218.5	284
Cell Tissue Bank	348	296	373	103	76	149	444	392	499
Cell Tissue Res.	117	90.5	157	87	58	114	216.5	186	266
Cell. Immunol.				151	110	198		116	
Cell. Microbiol.	164	112	181	83	49	133	242	175	301
Cell. Mol. Biol. (Noisy-le-grand)				65	35	410		641	
Cell. Mol. Biol. Lett.	52	45	79	161.5	131	163	214	197	229
Cell. Mol. Immunol.	129	102	165	55.5	8	132	213.5	154.5	285
Cell. Mol. Life Sci.	200	161	245	90	60.5	133	311	254	359
Cell. Mol. Neurobiol.	92	77.5	109.5	72	52.5	99	169	144	202
Cell. Physiol. Biochem.									
Cell. Signal.	94.5	84	106	42	19	78	138.5	111	187
Cells				56.5	35.5	79.5			
Cent European J Urol				64	38	98		171	
Cent Nerv Syst Agents Med Chem		135		63	42	77		263	
Cerebrovasc. Dis.				93	59	125		80	
Chem Asian J							136	118	158
Chem Biol Drug Des	124	115	138	108	74	139	228	209	273
Chem Cent J				76	53	99			
Chem Eng J									
Chem Mater							76	72.5	86.5
Chem Rec							144	142	150
Chem. Biodivers.							241.5	165	336
Chem. Biol.	65	45	80	98	68	150	162	126	219
Chem. Biol. Interact.	75	68	89.5	108	79	158	186	157	237
Chem. Phys. Lipids		75		78	52	139		214.5	
Chembiochem							107	88	133
ChemCatChem									
Chemistry							150	118.5	185
ChemistryOpen							83	66	105
ChemMedChem							117	97	133.5
Chemosphere	117	94	146	134	96	180	258	220	299
Chemother Res Pract				55	44	90			
Chemotherapy				127	101.5	151			
Chemphyschem							146	123	177
Chempluschem									
ChemSusChem							144	119.5	181
Child Abuse Negl	164	130	213	164	97	232	346.5	261	447
Child Adolesc Psychiatry Ment Health				132	91.5	156.5		73.5	
Childs Nerv Syst	127	95	160	38	15.5	75.5	161	126	245
Chin J Integr Med							475.5	250	727
Chin J Nat Med							340.5	215	384
Chin Med				201	160	254		114	
Chin. J. Cancer Res.	40	20.5	214	32.5	28.5	44	75	36	139
Chir Main	70	54	99	130	99	197	219	190	275
Chirality	160.5	135	194.5	60	40	90.5	239.5	191	287
Chiropr Man Therap				111	72	202		86	
Cholesterol				53	42.5	62			
Chonnam Med J	47	26	68	29	26	44	80	80	97
Chromatographia				104	89.5	124	192	22	
Chromosoma	113	87	137.5	82	51	124	194	154	238
Chromosome Res.	40	33	64	73	54.5	82.5	134	87.5	144
Cien Saude Colet	265.5	103.5	431	57	30	91.5	327	161	503
Cilia				89	40	133		121	
Cir Esp	304	222	412	68	27	148	421	287	528
Clin Anat	319	195	393	106	51	178	432	312.5	571.5
Clin Cardiol		97			58		165	138	192
Clin Case Rep	50	45	51	39	37	66	88	86	101
Clin Colorectal Cancer	166	138	186	136	100	152	295.5	258	311
Clin Cosmet Investig Dent									
Clin Endosc	200	53	261.5	51	24	85.5	203	68.5	338
Clin Epidemiol									
Clin Epigenetics				70	60.5	102		81.5	
Clin Exp Optom	276.5	220	313	125.5	82	174.5	413	342	480
Clin Exp Otorhinolaryngol	337	255	987	109	73.5	158	465.5	366.5	1133
Clin Exp Reprod Med	85	32		55	31	77	90	45	128.5
Clin Exp Vaccine Res	44	34	49	26	15	28	61	52	71
Clin Genitourin Cancer	200	151	227	87	63.5	118.5	291	257	324.5
Clin Imaging				122	77	173.5			
Clin Interv Aging									
Clin Invest Med									
Clin Investig Arterioscler				12	5	17			
Clin J Gastroenterol		67		103.5	74	136		153	
Clin Kidney J	91	76	99	56	43	218	142	133.5	302
Clin Lung Cancer	194	135	248	102	65	125	296	268	328
Clin Lymphoma Myeloma Leuk	151	124	180	98	63	139.5	261	225	286
Clin Med Insights Case Rep									
Clin Mol Allergy									
Clin Mol Hepatol	93	24	329	90	67	125	160	112	384
Clin Neurol Neurosurg	221	113	277	166	105	245	375	277	496
Clin Neurophysiol	183	165	198	139	104	213	328.5	278	413
Clin Neuroradiol	374	311.5	459	94	66.5	155.5	461	392	537
Clin Nutr	289.5	254	329	150.5	102	199	444.5	378	511
Clin Nutr Res	17	11.5		19	15	26.5	30	26	82
Clin Obes	126	71		132	84	147	185	115	258
Clin Oncol (R Coll Radiol)	140	107	178	122.5	84	178	262	208.5	350.5
Clin Ophthalmol									
Clin Oral Implants Res									
Clin Oral Investig	287	260	318	184	135	274	467	416	534
Clin Orthop Surg	210	169	267	103.5	71	164.5	352	252.5	456
Clin Pediatr Endocrinol	79.5	31	93	112	72	122	152	143	192
Clin Physiol Funct Imaging	192	175.5	205	119	82.5	166	321	273.5	384
Clin Pract	100	50	143	91	62	113	163	114	239
Clin Pract Epidemiol Ment Health				84	47	157			
Clin Proteomics				161	77	176		74	
Clin Psychol Psychother				217	124	321			
Clin Psychol Rev	87	71	104	217.5	181	300	320.5	271	428.5
Clin Psychopharmacol Neurosci	121	110	128	70	34	112	180	162	215
Clin Radiol	160	139	194	104	71	142	265	234	327
Clin Res Cardiol	116	104	125	115	79	149.5	227	192.5	268
Clin Res Hepatol Gastroenterol	200	142	309	69	32	128	321.5	187	388
Clin Respir J	225	184.5	302.5	148.5	98	179	389	343	448.5
Clin Sarcoma Res				64	40	79			
Clin Ther	41	32	53	89	55.5	128	121	87.5	155
Clin Transl Allergy				76	45	112			
Clin Transl Gastroenterol									
Clin Transl Imaging									
Clin Transl Immunology									
Clin Transl Med				63.5	33.5	79.5		31.5	
Clin Transl Oncol	252	231	265	64.5	38	113	317	280	378
Clin. Auton. Res.	83	64	108	171	132.5	252	266	250	321
Clin. Biochem.	106	84	131	100	72	146	211	170	259
Clin. Breast Cancer	154	138	177	129	81	158	290	259	325
Clin. Chem. Lab. Med.	162	120	199	65	28	113.5	239	169.5	287
Clin. Chim. Acta	96	81	119	63	41	95	162	132	213
Clin. Dev. Immunol.				72	51	106			
Clin. Endocrinol. (Oxf)	231	213	256	82	61	123	316	278	400
Clin. Exp. Allergy	130	101.5	157	143	114.5	219.5	286	222	355
Clin. Exp. Med.	424	400	450	135	101	168	575	504	618
Clin. Exp. Metastasis	158	142	179	141	102	186	298	256	349
Clin. Exp. Nephrol.	251	199	296	60.5	26	139	342	228.5	405.5
Clin. Exp. Pharmacol. Physiol.	70	55	79	115	71	139	194	156	245
Clin. Exp. Rheumatol.				77	51	113			
Clin. Experiment. Ophthalmol.	272	258.5	308.5	122	68	153	403	354	505
Clin. Gastroenterol. Hepatol.	180	155	226	71	31	115	262	227	315
Clin. Genet.	296	164	350	57	35	80	362	209	403
Clin. Immunol.	86	68	123	82	61	130	202	149	291
Clin. Microbiol. Infect.	160	139	244	89	59	116	271	208	360
Clin. Orthop. Relat. Res.	126	105	145	126	92.5	159	262	211.5	305
Clin. Pharmacol. Ther.	125	114	143	71	56	110	210	175	242
Clin. Rheumatol.	125	100	147	82	28	143	223	130	303
Clin. Sci.									
Clinicoecon Outcomes Res									
Clinics (Sao Paulo)	107	85	131	54	32.5	74	160.5	121.5	203.5
CNS Neurol Disord Drug Targets	179	87	299	59	53	106	294	190	360
CNS Neurosci Ther	123.5	87	138	60.5	44	76	178	146	212
Codas		177		238	148.5	345.5	345	203	
Cogn Neurodyn	214	186	261	143	116	202	388	354	421
Cogn Neurosci									
Cogn Process	116.5	84	176	83	50	118	162.5	151	310.5
Cogn Psychol	105	84	118	237	218	280	342	304	456
Cogn Sci	341	284		320	205	436	1125	550	
Cognit Comput									
Cognition	116.5	104.5	129.5	262.5	202	378	385	318.5	512.5
Colloid Polym Sci				78	48	117		80	
Colloids Surf B Biointerfaces	151	133.5	168	102	66	145.5	256.5	218.5	298.5
Colomb. Med.		423		226	136	314.5	226	189.5	325
Colorectal Dis	212	173	317	82	64	111	284	220	361
Comb. Chem. High Throughput Screen.	127	115	152	123	69	161	270	216	292
Commun Integr Biol	88	52	108	14	2	30	101	61	125
Community Dent Oral Epidemiol	271.5	247	288	225	183	265	491	434	534
Community Ment Health J	341	252.5	402	374	291	514.5	764.5	642.5	848
Comp Clin Path									
Comp Cytogenet				87	56	116		156	
Comp. Biochem. Physiol. C Toxicol. Pharmacol.	60	51	87	81	64	104.5	154	116	176
Comp. Biochem. Physiol. Part D Genomics Proteomics	95	66	120	76	63	157	185	155.5	260
Comp. Immunol. Microbiol. Infect. Dis.	120	89	137	138	87	221	240	209	352
Complement Ther Clin Pract	145	109	153	49	34	87	193	163	246
Complement Ther Med	90	76	111	179	132	295	277	222	467
Compr Psychiatry	206	169	212	148	100	234	358	301	450
Comput Biol Chem	129	98	153	66.5	46	126	208	170	274
Comput Geom									
Comput Intell Neurosci				133.5	104	155			
Comput Math Methods Med				72	52	102.5			
Comput Med Imaging Graph		205		200	150	274		323	
Comput Methods Appl Mech Eng									
Comput Methods Programs Biomed	115	99	143	195.5	141	321	328	262	476
Comput Stat Data Anal									
Comput Struct Biotechnol J				85	61	105.5		59.5	
Comput Vis Image Underst									
Comput. Biol. Med.	93	74	108	269	164	422	351	249	525
Confl Health				173	158.5	193		106.5	
Congenit Anom (Kyoto)	205.5	163	233	45.5	30	94	257	215	261
Congest Heart Fail				81	51	114			
Conscious Cogn	98	71.5	121	157	113	204	256	199.5	332
Conserv. Biol.	242	221.5	269	179	127.5	239.5	433	359	482
Cont Lens Anterior Eye	213.5	183	230	135	104.5	188.5	347	310	418.5
Contact Derm.	184	151.5	217	48.5	30	73	232.5	199	273.5
Contemp Clin Trials	71	57	93	100	76	128	177	139	214
Contemp Oncol (Pozn)		91		110	51	196	343	163	
Contraception	171	123	222	102	67	147	276	231	339
Contrast Media Mol Imaging				210	171	281.5			
Coord Chem Rev									
Core Evid									
Cortex	424.5	263		166.5	118	227	609.5	444	
Cost Eff Resour Alloc				206.5	163.5	340.5		248	
Cough				148	71	182		17	
CPT Pharmacometrics Syst Pharmacol				96	68.5	116			
Craniomaxillofac Trauma Reconstr	305	284.5	376.5	5	2	16.5	348	286.5	389.5
Crim Behav Ment Health	185	72	222.5	169	147	239	374	330	425
Crit Care				165.5	128	213		78	
Crit Care Res Pract				66	55.5	100.5	140	29	
Crit Public Health							297	297	562
Crit Ultrasound J				132	111.5	133.5	87	70	
Crit. Rev. Oncol. Hematol.	169	148	200	146	107	196	325	293	361
Cryobiology	93	79	107	90	74	125	191	164	224
Cryst Growth Des									
Cuad Bioet				68.5	46	180			
Curationis		112		432	367	443	438	373	445
Curr Aging Sci	69	43	330	154	66	248	337.5	264	447
Curr Alzheimer Res	112	66	198.5	249	197	406	424	320	496.5
Curr Cancer Drug Targets	101	59	211	168	95	255.5	320	250	408
Curr Cardiol Rev	164.5	152	198	163	85	180	347	314	367
Curr Chem Genomics Transl Med				46	24	62			
Curr Clin Pharmacol	182	4	266	25.5	11	218.5	185	15	379
Curr Comput Aided Drug Des	124	51	195.5	354	160.5	487	498.5	401.5	604
Curr Diabetes Rev	76	59	105	168	127.5	193	237	211.5	285.5
Curr Drug Abuse Rev	212	58		186	128.5	322	138	124.5	296
Curr Drug Deliv	161	127	241	58	39	89	239	197	308
Curr Drug Discov Technol	174	174	338	80	41	80	254	254	395
Curr Drug Saf	51	34		64	31.5	145	92	30.5	161
Curr Drug Targets	71	48.5	102.5	80	62.5	113.5	167	139	213.5
Curr Gene Ther	90	72.5	111	78	58.5	102.5	178	145	191
Curr Gerontol Geriatr Res				95	66	125.5		189	
Curr Health Sci J				390	53	394	336	332	
Curr Hypertens Rev		200		142.5	120	182	180	100	364
Curr Immunol Rev									
Curr Med Imaging Rev									
Curr Mol Pharmacol	27	16		80	66	324.5	578	91.5	
Curr Neuropharmacol	131	111	168	90	60	116	225.5	194	274
Curr Neurovasc Res	62	60.5	71.5	92	36	103	153	96.5	167
Curr Nutr Food Sci									
Curr Opin Chem Biol	64	48	74	87.5	64	105	150	126.5	167
Curr Opin Pharmacol	85	67.5	101	66	47	84	160	133.5	167
Curr Opin Virol	52	24	88	52	22	72	108	85	128
Curr Org Chem									
Curr Pediatr Rev									
Curr Pharm Biotechnol		718		76.5	46	155	951.5	777	
Curr Pharmacogenomics Person Med									
Curr Probl Pediatr Adolesc Health Care	88	67.5	151.5	20	1	85	132	92	201
Curr Proteomics									
Curr Radiopharm	129	66	436	53	21.5		127	95.5	169.5
Curr Respir Med Rev									
Curr Rheumatol Rev				174	120	365	183	92.5	299
Curr Stem Cell Res Ther	91	20	105.5	96	59.5	140.5	174	145	207
Curr Top Med Chem				65	38.5	114.5		77.5	
Curr Urol	214	124	265	40.5	19	50	259	155	308
Curr Vasc Pharmacol	415	300	475	127	59	156	535	412	603
Curr. Biol.	55	48	67.5	110	71	146	165	119.5	207
Curr. Drug Metab.	189	62.5	299.5	101	59	183.5	304	234.5	435
Curr. Genet.	87	49	140	75	34	100	179	141	218
Curr. Genomics	48	23	68	86.5	59	119.5	142.5	107	200
Curr. HIV Res.	51	15		66	49	75	100	72	265
Curr. Med. Chem.				118.5	73.5	178	167.5	94	
Curr. Microbiol.	159	143	172	76	49	116	229	205	278
Curr. Mol. Med.	61.5	37.5	154	158	113.5	205	225	174	361
Curr. Opin. Biotechnol.	171	132	238	69	44	92	242	204	305
Curr. Opin. Cell Biol.	102	88	115	53	36	81	168	139	186
Curr. Opin. Genet. Dev.	106	74	132	58.5	28	94	180.5	146	193
Curr. Opin. Immunol.	64	44	88	41	14	62	111	94.5	124.5
Curr. Opin. Microbiol.	82	65	100	48	28	68	134	116	146
Curr. Opin. Neurobiol.	156	138	190	36.5	22	58	204.5	174	231
Curr. Opin. Plant Biol.	78	49	101	42.5	24	86	135	115	144
Curr. Opin. Struct. Biol.	71	47	108.5	71	40	95.5	144	121	174
Curr. Pharm. Des.		66		36	22	50	128	60	
Curr. Protein Pept. Sci.	190	152	231	85	67	117	261	248	311
Cytojournal				87	63	126			
Cytokine	88	69	109	133	95	182	233	180	284
Cytokine Growth Factor Rev.	118	87	132	53	29	92	187	127	233
Cytometry A	94	79	122	136	81	199	252	181	311
Cytometry B Clin Cytom		107.5		151	89	197.5		274.5	
Cytoskeleton (Hoboken)	68	51	86	102	71	138	162	142	208
Cytotechnology	255	182	314	119	83	162	379.5	302	457
Cytotherapy	140	122	162	121	77	167	264	230	318
Dairy Sci Technol									
Daru				84.5	36	125		79	
Decis Support Syst									
Dement Geriatr Cogn Disord									
Dent Mater	79	65	95	184	100.5	248.5	258	194	332
Depress Anxiety	162	113	210	123	81	177	297	225	348
Depress Res Treat				83.5	53	105			
Dermatoendocrinol		111		85.5	55.5	124.5	34	30	149
Dermatol Pract Concept	59	46.5		68.5	35	89.5	223	122	
Dermatol Reports									
Dermatol Res Pract				46.5	34	66			
Dermatol Ther (Heidelb)							176	120	178
Dermatol. Online J.				0	0	0			
Dermatology (Basel)				90	57	126		116	
Dev Cogn Neurosci	131	103.5	166.5	141	116	200	286	233.5	350
Dev Disabil Res Rev	164	91	210	187	98.5	266	283	234.5	363.5
Dev Neurobiol	140	125	201	100	67	148	262	216	302
Dev Psychobiol	378	285.5	412	142	101	187	511	437.5	559
Dev Sci	198	163	220	256	132	413	468.5	344	598
Dev. Biol.	83	72	95	122	78	173	214	164	265
Dev. Cell	47.5	40	55	182	148	253	235	195	303
Dev. Comp. Immunol.	158	122	282	58.5	37	84	254	174	344
Dev. Dyn.	100	87	107.5	121	57	148.5	223	162	260
Dev. Genes Evol.	118	108	145	97	83	114	219	193	253
Dev. Growth Differ.	59	47	89	46	27	71.5	120	102	157
Dev. Neurosci.				121	92	162	196	81	
Diabet Foot Ankle				56.5	45	80.5			
Diabet. Med.	136	104	155.5	155	119	184	287	246	325
Diabetes Metab J	117	88	134	85.5	66	105	196	171	232
Diabetes Metab Syndr Obes									
Diabetes Metab.	118	86.5	187	92	44	130	229	145.5	309
Diabetes Metab. Res. Rev.	135.5	105	152	159.5	99	232	290.5	230	381
Diabetes Obes Metab	172	138	200	83	53	133.5	258	197	329
Diabetes Res. Clin. Pract.	73	63	87	92	67	138	172	140	222
Diabetes Ther							158	119	246
Diabetol Metab Syndr				153	66	188		106	
Diabetologia	109	100	116	80	58	115.5	192.5	165.5	224
Diagn Pathol				62	37	84			
Diagn Ther Endosc				58.5	31	108.5		98	
Diagn. Cytopathol.	392	303	590	164.5	100	232	594.5	504	699
Diagn. Microbiol. Infect. Dis.	102	93	110	90	62	114	195	164	227
Differentiation		108.5		157	119	189		243	
Dig Endosc	258	113	295	57	38	79.5	308	153	389
Dig Liver Dis	174.5	148	200	101	61	135	280.5	239	319
Dig Surg				108	62	191		316	
Dig. Dis. Sci.	148	124	167	110	68	173	260.5	220	322
Digestion				101	79	144		113	
Dis. Markers				82	63	104			
Disabil Health J	153	133	167	163	139	251	340	292	382
Discrete Math									
Diving Hyperb Med	63.5	53	76	197	69	221	243	150	273
DNA Repair (Amst.)	75.5	70	84	92.5	58	134	171	132	216
Doc Ophthalmol	121	96	136	119	80	154	218	192	293
Dokl. Biochem. Biophys.									
Dokl. Biol. Sci.							203	141	
Domest. Anim. Endocrinol.	82	65.5	103.5	106	69	122.5	172	155	223.5
Drug Alcohol Depend	178	133	201	110	82	151	286	252	332
Drug Alcohol Rev	166	144.5	217	134	69	183	310.5	255	382.5
Drug Des Devel Ther									
Drug Dev. Res.									
Drug Discov. Today	131	108	144	109	80	156	243	205	296
Drug Healthc Patient Saf									
Drug Metab Lett									
Drug Metabol Drug Interact				64	42	83.5			
Drug Resist. Updat.				131	55	139			
Drug Test Anal	362	186.5	737.5	61	30	94.5	432	229	812
Drugs Context	58	21	126	2	2	9	68	22	128
Dtsch Arztebl Int	94	69	116	139	98	198	228	186	297
Dyslexia	114	59	169	357	0	510	493.5	59	731
Dysphagia	228	175.5	254	137	88.5	216.5	369	298	482
Early Hum. Dev.	102	87	154	119	91	169	244	198	292
Early Interv Psychiatry	424	267.5	519.5	156	101	192	594	401	684
East. Mediterr. Health J.	423	413	457.5	83	73	88	519	489	560
Eat Behav	78	54	89	174	152	203	250.5	225	309
Eat Weight Disord	190	101	281	168	92	227	444	253	497.5
Ecancermedicalscience									
Ecohealth	86	53.5	104	209	116.5	389	314	176.5	448.5
Ecol Evol	69	57	82	75	40	104	145	111	177
Ecol. Lett.	94	81	115	84	55	133	189	163	230
Econ Hum Biol	318	213	431	265	152	332	600	417	748
Econ. Bot.									
Ecotoxicol. Environ. Saf.	99	90	111	97	75	137	203	169	240
Einstein (Sao Paulo)				179	142	238			
EJNMMI Res				67	49	87			
Electrolyte Blood Press									
Electrophoresis	111	94	137	74.5	47	106	189	163	243
Elife				95.5	73	135.5		84	
EMBO J.	61	54	72	142	85	194	207.5	141	253
EMBO Mol Med	70.5	59	80	147	99	190	211	162	262
EMBO Rep.	61	51	70	135	76	161	193	139.5	228
Emerg Health Threats J				314	99	314	71	65	
Emerg Med Int				65	29	87			
Emerg Med Pract									
Emerg Radiol	156	137	193	47	31	78	222	197	253
Emerg Themes Epidemiol				234	176	246		29	
Encephale	366	274.5	421	306.5	196.5	459	630	557	833.5
Endeavour	144	109	164	57	15	201	182	132	341
Endocr Connect	100	77	117	13	10	14	114	79	132
Endocr Metab Immune Disord Drug Targets	72	49	72	9.5	0	87	72	72	141
Endocrine	251	211	280	66	44	93	312	263	367
Endocrinol Diabetes Metab Case Rep				11	6.5	28.5			
Endocrinol Metab (Seoul)	68	26.5	180.5	48.5	37.5	68	126.5	92.5	251
Endocrinol Nutr	259	226.5	308.5	68	49	99.5	322	281	404
Endokrynol Pol				0	0	0			
Endosc Ultrasound	93	31.5		38	29.5	55.5	69	37.5	137.5
Energy Policy									
Enferm Clin				158	95	181			
Enferm Intensiva				136	63	175.5			
Enferm. Infecc. Microbiol. Clin.	305	215	476	75	16	107	425	287	580
Environ Geochem Health	249	189	269.5	136	100	193	387	290	482
Environ Health				134	101.5	179.5		79.5	
Environ Health Prev Med	196	162.5	227.5	103	58	177.5	299	246	387
Environ Health Toxicol				97	73.5	134.5		166.5	
Environ Int	74	65	89.5	123	81	156	200	163	242
Environ Manage	84	65	109	324	252	432	418	348.5	526
Environ Microbiol Rep	137	129	161	99.5	71	161	244	191	299
Environ Monit Assess	227.5	178	266	173.5	130	225	402.5	334	472
