Jname	Jarticles	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Adv. Drug Deliv. Rev.	139	289	186	388.5
Ann. Hum. Genet.	68	289	235	327
BMC Bioinformatics	187	289	68	
Int. Arch. Allergy Immunol.	167	289	128.5	
J Neuroeng Rehabil	46	289	148	319
Neuropharmacology	477	289	245	338
Neuroepidemiology	76	288.5	166.5	
Phys Fluids (1994)	6	288.5	288	289
Epilepsy Res.	243	288	249.5	330
Eur J Pharm Biopharm	313	288	253	351
Med Clin (Barc)	260	288	179	439
Prim Care Diabetes	53	288	236	416
Cell Death Differ.	94	287.5	251	326
Acta Obstet Gynecol Scand	169	287	238	386
Diabet. Med.	95	287	246	325
Environ. Microbiol.	193	287	233	387
Genet. Med.	115	287	236.5	345
Int J Obstet Anesth	66	287	208	329
J Community Genet	64	287	206	400
J Perinat Med	46	287	244	328
Surgeon	65	287	249	376
Workplace Health Saf	43	287	220	345.5
Appetite	264	286	233	343.5
Bull. Math. Biol.	109	286	234	394
Clin. Exp. Allergy	71	286	222	355
Dev Cogn Neurosci	60	286	233.5	350
Drug Alcohol Depend	361	286	252	332
J. Clin. Lab. Anal.	65	286	216	388
Respirology	85	286	224	344
Mycorrhiza	74	285.5	255	322
Balkan Med J	50	285	249	371
Environ Sci Pollut Res Int	874	285	238	335
Health Place	138	285	247	365
N Biotechnol	85	285	153	427
Target Oncol	50	285	154	482
Wideochir Inne Tech Malo Inwazyjne	59	285	248.5	364.5
Arch. Bronconeumol.	79	284	221	314.5
Colorectal Dis	117	284	220	361
Forensic Sci. Int.	430	284	223	374
Heart Lung Circ	178	284	227	333
J. Theor. Biol.	370	284	236	338
Liver Int.	241	284	233	380
Stereotact Funct Neurosurg	61	284	192	386
Asian Nurs Res (Korean Soc Nurs Sci)	36	283	229	348
Dev Disabil Res Rev	11	283	234.5	363.5
Evol Appl	76	283	210	344
Hear. Res.	183	283	211	332
Interdiscip Sci	41	283	236	456
Psychopharmacology (Berl.)	396	283	238	329.5
Vet Comp Orthop Traumatol	116	283	156.5	523.5
Auton Neurosci	112	282	217	325
Eye (Lond)	106	282	217	319
Hum. Pathol.	348	282	247	322.5
Mar. Biol.	9	282	105	326
Med Dosim	88	282	176	324.5
Pharmacoepidemiol Drug Saf	145	282	228	360
Int Forum Allergy Rhinol	92	281.5	247	339.5
Acta Psychol (Amst)	183	281	232	364.5
Glycoconj. J.	52	281	222	330.5
Hippocampus	34	281	241	330
Prim Care Companion CNS Disord	67	281	74	
Vet. Parasitol.	384	281	241	333
Dig Liver Dis	194	280.5	239	319
Epidemics	22	280	247	365
J. Vasc. Surg.	513	280	247	353
Med Princ Pract	162	279.5	153	429
J. Hum. Evol.	118	279	208	455
Pediatr Blood Cancer	401	279	228	337
Addict Behav	255	278	248	339.5
AJP Rep	27	277	244	294
Arq. Bras. Cardiol.	130	277	230	314
Brain Pathol.	60	277	225	315.5
Complement Ther Med	103	277	222	467
JIMD Rep	143	277	137	404.5
J Nurs Educ	112	276.5	241	352
Contraception	177	276	231	339
Eur. J. Obstet. Gynecol. Reprod. Biol.	462	276	231	327
Int J Clin Pharm	110	276	239	328
J Biomed Inform	103	276	230.5	361.5
J Geriatr Oncol	67	276	240.5	315
J Neural Transm	171	276	205	321
J. Allergy Clin. Immunol.	331	276	190	361.5
J. Am. Acad. Dermatol.	260	276	225.5	347
Popul Health Metr	13	276	64	330
Reprod. Toxicol.	98	276	236	381
Arthritis Rheum.	144	275.5	232.5	361
Eur. J. Neurol.	219	275	226	322.5
J Artif Organs	51	275	225	302
Surgery	306	274.5	220	390
Am J Orthod Dentofacial Orthop	137	274	241	424
Genes Nutr	61	274	233	337
Immunity	106	274	233	349
J Pharm Bioallied Sci	26	274	193	352
Pharmacognosy Res	27	274	238.5	306.5
Biopsychosoc Med	10	273.5	61	
Adv Colloid Interface Sci	53	273	205	345
J Clin Apher	40	273	36	359
J Small Anim Pract	7	273	192	476.5
Neuroimage	1049	273	229	333
Phytochemistry	281	273	223	355
Cardiovasc Interv Ther	108	272.5	235	319
Adv Healthc Mater	174	272	240	299
Am. J. Primatol.	109	272	230	334
Forensic Sci Int Genet	139	272	203	330
J Perinatol	89	272	243	307
Med J Islam Repub Iran	26	272	226	291
Mitochondrion	107	272	198	328.5
Clin. Microbiol. Infect.	189	271	208	360
J. Bone Miner. Res.	109	271	235	316
Mol. Phylogenet. Evol.	289	271	215	324
Neurotox Res	91	271	238.5	321.5
Oral Surg Oral Med Oral Pathol Oral Radiol	256	271	222	401
Glia	168	270.5	214	309
Acta Biotheor.	44	270	250	286
Comb. Chem. High Throughput Screen.	37	270	216	292
Eur Eat Disord Rev	38	270	207	315
HSS J	43	270	216	368
Intern Med J	95	270	219	368.5
J Am Soc Echocardiogr	172	270	195	329.5
J. Assoc. Res. Otolaryngol.	60	270	201	368.5
Arch. Environ. Contam. Toxicol.	143	269	227	318.5
Eur. J. Appl. Physiol.	217	269	229	346
J Cancer Surviv	46	269	236	344
Rev Med Chil	87	269	225	395
Sleep Med.	266	269	229	290
Cell Stem Cell	84	268	210.5	396.5
FEMS Microbiol. Ecol.	210	268	227	320
Invert. Neurosci.	9	268	256	348
J. Contam. Hydrol.	104	268	224.5	363
Mycoses	60	268	223	340.5
Sex Health	42	268	237	370
Sultan Qaboos Univ Med J	50	268	229	318
Trends Cardiovasc. Med.	59	268	253	297
J. Surg. Res.	760	267.5	238	331.5
Aging Clin Exp Res	123	267	129.5	368
Indian J Virol	59	267	204	320
Int. J. Infect. Dis.	211	267	225	338
Mem. Inst. Oswaldo Cruz	108	266.5	206	361.5
Ann. Anat.	66	266	178	370
Clin. Auton. Res.	27	266	250	321
J. Virol. Methods	341	266	215	321
Pediatr Cardiol	307	266	213	367
Persoonia	15	266	244	367.5
Behav. Genet.	60	265.5	208	311
Pharmacol Rep	174	265.5	123	
Caries Res.	100	265	81	622
Clin Radiol	265	265	234	327
Exp. Parasitol.	232	265	197	314.5
Open Biochem J	19	265	81	
Rev Esp Cardiol (Engl Ed)	112	265	177	328
Synapse	102	264.5	229	296
Am. J. Med. Genet. A	512	264	206.5	356
Ann Biomed Eng	216	264	223	302
Ann Dermatol Venereol	126	264	176	451
Cytotherapy	149	264	230	318
Integr Environ Assess Manag	100	264	160.5	395.5
Invest New Drugs	123	264	236	346.5
J Caring Sci	42	264	2	502
Microcirculation	36	264	232	320
Resuscitation	237	264	224	320
Small	517	264	222	298
Acta Anaesthesiol Taiwan	32	263.5	190.5	380.5
Lab Anim (NY)	14	263	224	292
Mol. Cell. Neurosci.	96	263	199.5	352
Regul. Pept.	120	263	232	309
Syst Synth Biol	27	263	172	351.5
Aust N Z J Obstet Gynaecol	84	262	200	304
BMC Gastroenterol	97	262	69	
Clin Oncol (R Coll Radiol)	88	262	208.5	350.5
Clin. Gastroenterol. Hepatol.	303	262	227	315
Clin. Orthop. Relat. Res.	300	262	211.5	305
Dev Neurobiol	70	262	216	302
Free Radic. Biol. Med.	353	262	222	308
Mater Sci Eng C Mater Biol Appl	649	262	217	323
J Infect Public Health	52	261.5	242	325
BMC Med. Genet.	82	261	82	
Clin Lymphoma Myeloma Leuk	127	261	225	286
Curr. Protein Pept. Sci.	29	261	248	311
J Fluency Disord	23	261	215	445.5
J. Exp. Zool. B Mol. Dev. Evol.	46	261	213	346
Korean J Anesthesiol	71	261	218.5	361
Mol. Biol. Rep.	732	261	211	327
Dig. Dis. Sci.	402	260.5	220	322
Arch. Virol.	355	260	229.5	291.5
Br. J. Pharmacol.	181	260	208	328
Eur J Clin Nutr	157	260	206	302
Int J Adolesc Med Health	57	260	117	380
J Neurol Surg B Skull Base	61	260	221	334
Med. Microbiol. Immunol.	46	260	228	338
Metab. Clin. Exp.	205	260	231	300
J Epidemiol Glob Health	34	259.5	218	359
J Plast Reconstr Aesthet Surg	334	259.5	196	321
Stem Cell Res	140	259.5	219	310
Tierarztl Prax Ausg K Kleintiere Heimtiere	48	259.5	188.5	427.5
Ultrasound Obstet Gynecol	52	259.5	213.5	335.5
Curr Urol	42	259	155	308
Graefes Arch. Clin. Exp. Ophthalmol.	313	259	212	338
Int J Cardiovasc Imaging	187	259	201	329
J. Fish Biol.	189	259	197	323
Neuropathol. Appl. Neurobiol.	7	259	128.5	300.5
Skin Pharmacol Physiol	64	258.5	61.5	
Am. J. Gastroenterol.	113	258	224	286
Arch Phys Med Rehabil	295	258	214.5	298
Calcif. Tissue Int.	143	258	196	308
Chemosphere	1226	258	220	299
Dent Mater	175	258	194	332
Diabetes Obes Metab	175	258	197	329
Int. J. Dev. Neurosci.	87	258	196	376
Saudi J Ophthalmol	51	258	195	395
Transfus Med	40	258	195.5	328
Allergol Int	42	257	215	288
Behav. Ecol.	9	257	228	345
Bull Soc Pathol Exot	30	257	185	282
Congenit Anom (Kyoto)	14	257	215	261
Eur Radiol	380	257	232.5	285
Growth Horm. IGF Res.	33	257	231	322
J Nucl Cardiol	58	257	198	302
J Pain	150	257	209	301
Colloids Surf B Biointerfaces	716	256.5	218.5	298.5
Biotechnol. Bioeng.	358	256	232	286
Conscious Cogn	132	256	199.5	332
Iran J Basic Med Sci	73	256	206	346
J Behav Addict	15	256	200	281
J Inflamm (Lond)	23	256	65	
Aesthetic Plast Surg	200	255	210.5	330.5
Ann Indian Acad Neurol	78	255	204	367
BMC Nephrol	143	255	62.5	
Eur Addict Res	53	255	193	326
Fetal. Diagn. Ther.	130	255	86	
Health Promot J Austr	13	255	238	309
Hum. Immunol.	243	255	213	296.5
Infection	155	255	233	270.5
J. Biosci. Bioeng.	251	255	218.5	287
J. Cell. Physiol.	101	255	212	312
J. Dermatol. Sci.	109	255	208	308
Mol Nutr Food Res	257	255	222	290
Nat Mater	129	255	209	293
Neuropsychopharmacology	170	255	238	287
Reprod Biol	53	255	183	376
Toxicol In Vitro	200	255	197.5	346
Cancer Cytopathol	82	254	204	292
Curr Drug Discov Technol	9	254	254	395
Dev. Comp. Immunol.	178	254	174	344
Front Med	38	254	172	309
J Child Orthop	76	254	192	255
J Mol Diagn	85	254	221	305
Leukemia	129	254	192	300
Mol. Immunol.	199	254	209	285
Neotrop. Entomol.	56	254	204	377.5
Am. J. Med. Genet. B Neuropsychiatr. Genet.	89	253	198	306
Am. J. Phys. Anthropol.	205	253	200	325
Biomed. Chromatogr.	219	253	223	298
Int J Gynaecol Obstet	302	253	216	284
Int Urol Nephrol	215	253	124	382
J. Neurosci. Res.	153	253	222	294
Neurosci Biobehav Rev	199	253	191	336.5
Ann Pathol	36	252.5	12.5	510
J Clin Psychiatry	62	252.5	210	310
Arch Cardiovasc Dis	61	252	173	740
Cytometry A	117	252	181	311
Environ. Res.	109	252	216	314
Int J Appl Basic Med Res	19	252	151	312.5
Intern Emerg Med	95	252	175.5	685
J Endod	361	252	219	286
J. Oral Maxillofac. Surg.	310	252	211	303
Microbes Infect.	100	252	175	
Nutr Res	132	252	216	319.5
Prostate	164	252	210	292
Psychiatry Investig	47	252	190	315
Acta Histochem.	133	251	228	278
Asian J Endosc Surg	41	251	202	315
J Appl Crystallogr	62	251	188	272
Vet. Microbiol.	435	251	209	302
Eat Behav	82	250.5	225	309
Eur J Radiol	376	250.5	209	310.5
J Ment Health Policy Econ	6	250.5	181	417
Korean J Thorac Cardiovasc Surg	30	250.5	220	270
Angiogenesis	103	250	216	299.5
Int J Exp Pathol	34	250	165	308
Microbiome	12	250	41	
Plant Pathol. J.	31	250	206	270
World J. Microbiol. Biotechnol.	311	250	221	297
Am. J. Ophthalmol.	279	249	214	293
Anim Behav	7	249	201	260
Biosens Bioelectron	682	249	227	270
J Pediatr Adolesc Gynecol	77	249	225	340
J. Pharm. Pharmacol.	185	249	203	297
Korean J Orthod	11	249	178.5	281
Stem Cells	120	248.5	205	279
Anat Rec (Hoboken)	152	248	173.5	339.5
Bull. World Health Organ.	121	248	218	289
J Psychosoc Nurs Ment Health Serv	37	248	178	301
J. Plant Physiol.	201	248	221	286
Metab. Eng.	103	248	186	290.5
Parkinsonism Relat. Disord.	194	248	198	292
Purinergic Signal.	27	248	209	281
Biopolymers	74	247	215	270
Exp. Neurol.	227	247	188.5	289.5
Hum Psychopharmacol	73	247	184	296
J Youth Adolesc	133	247	175	371
Pain	340	247	195	308
Proteins	203	247	221.5	290
Res. Microbiol.	115	247	197.5	
Ticks Tick Borne Dis	83	247	192	360
Arq Bras Endocrinol Metabol	32	246.5	173	335
Skeletal Radiol.	196	246.5	208	307
Anat Sci Int	47	246	194	280
Cell Stress Chaperones	91	246	218.5	284
Int. J. Clin. Pract.	78	246	202	285
J. Hepatol.	338	246	202	300
Photosyn. Res.	143	246	214.5	272.5
Trends Ecol. Evol. (Amst.)	79	246	174	283.5
Iran J Otorhinolaryngol	30	245.5	188	303
World J Stem Cells	10	245.5	172	333
Biosci Microbiota Food Health	35	245	64	
Global Spine J	41	245	169	377
Int J Oral Sci	49	245	203	352
J AAPOS	97	245	228	288
Mov. Disord.	282	244.5	165	316
Neurobiol. Dis.	238	244.5	200	291
Early Hum. Dev.	142	244	198	292
Environ Microbiol Rep	82	244	191	299
Eur. Urol.	199	244	178	316
Arch Pediatr	227	243	177	331
Can. J. Ophthalmol.	46	243	237	307
Diving Hyperb Med	18	243	150	273
Drug Discov. Today	141	243	205	296
Eur. J. Clin. Pharmacol.	162	243	194	315
Sci Pharm	71	243	144	
Acta Otorhinolaryngol Ital	31	242	167	383
Cell. Microbiol.	145	242	175	301
Curr. Opin. Biotechnol.	161	242	204	305
Genet. Mol. Biol.	88	242	219	282
Med. J. Aust.	189	242	161	396
Mol. Cell. Endocrinol.	350	242	197	291
Oper Orthop Traumatol	13	242	207	245
Chem. Biodivers.	102	241.5	165	336
Cancer Epidemiol	158	241	201	273
Gastrointest. Endosc.	321	241	188	326
J. Mol. Histol.	73	241	198	256
Mol. Ther.	139	241	186	286
Reprod. Fertil. Dev.	91	241	188	292
Rev. Med. Virol.	23	241	162	328.5
Vision Res.	153	241	178	317
Acta Trop.	224	240.5	196	313
Australas Emerg Nurs J	18	240.5	147	317
J Appl Clin Med Phys	128	240.5	78.5	
Ann. Neurol.	132	240	189	290
Biochim. Biophys. Acta	2063	240	186.5	302
Can J Cardiol	251	240	155	308.5
Comp. Immunol. Microbiol. Infect. Dis.	45	240	209	352
Ophthalmic Res.	95	240	88	
AORN J	56	239.5	116	404.5
Chirality	104	239.5	191	287
Am J Prev Med	173	239	214	271
Arch. Toxicol.	171	239	175.5	295
Clin. Chem. Lab. Med.	108	239	169.5	287
Curr Drug Deliv	17	239	197	308
J Affect Disord	559	239	206	289.5
J. Neuroendocrinol.	44	239	195	288
Radiat Environ Biophys	40	239	208.5	281
Cardiovasc J Afr	46	238.5	160	992
J Cataract Refract Surg	236	238.5	199	286
Arch. Dermatol. Res.	147	238	211.5	295
Indian J Surg Oncol	105	238	183	318
J Cardiol	167	238	201.5	288.5
J. Antibiot.	86	238	159	275
Med Glas (Zenica)	39	238	187	308
Microrna	12	238	81	
Toxicon	272	238	210.5	281.5
Microb. Ecol.	230	237.5	187	302
Curr Diabetes Rev	35	237	211.5	285.5
J Orthop Sci	175	237	199	333.5
J Psychiatr Res	239	237	190.5	267.5
Korean J Pediatr	51	237	177.5	316.5
Methods	171	237	164	279
Ocul Surf	25	237	121	281
Gynecol Obstet Fertil	76	236.5	92	405
Biopharm Drug Dispos	44	236	175.5	269
Genomics	103	236	149.5	268
Inflamm. Res.	108	236	197.5	310
J. Hosp. Infect.	206	236	200	290
JACC Cardiovasc Imaging	88	236	163	284
Mycopathologia	108	236	189	267.5
Neuropsychologia	347	236	188.5	291
Behav. Processes	164	235.5	186	282
Int J Cosmet Sci	68	235.5	183	253.5
Osteoarthr. Cartil.	272	235.5	214	283
Dev. Cell	138	235	195	303
Int J Psychophysiol	205	235	192	296
J Mal Vasc	25	235	172	346
J Surg Oncol	178	235	163	299
J. Cell. Biochem.	127	235	186.5	325.5
Musculoskelet Surg	60	235	161	553.5
Neuropeptides	50	235	89	257
Alcohol	52	234.5	189.5	302
Int. J. Radiat. Oncol. Biol. Phys.	442	234	195	302
Iran. J. Public Health	205	234	68	
J Am Acad Child Adolesc Psychiatry	118	234	206	292
Plant Biotechnol. J.	88	234	196	269
Postepy Dermatol Alergol	27	234	135	260
Reprod. Biomed. Online	212	234	176	285
Cancer Genet	55	233	113.5	
Cytokine	337	233	180	284
Regul. Toxicol. Pharmacol.	131	233	176	275
Contact Derm.	76	232.5	199	273.5
Immunology	66	232.5	196	290
J. Mol. Med.	126	232.5	136	294
Pharm. Res.	300	232.5	202.5	288
Ann. Hematol.	219	232	199	297.5
Behav Res Ther	101	232	178	275
J Voice	191	232	198	284
Am. J. Med.	222	231	192	285
Basic Clin. Pharmacol. Toxicol.	117	231	201	260
J. Therm. Biol.	9	231	193	283
Leg Med (Tokyo)	64	231	200.5	301
Acta Physiol (Oxf)	117	230	150	344
Am. J. Pathol.	406	230	191	276
Can J Anaesth	119	230	196	298
Cancer	425	230	199	281
J Hand Surg Am	348	229.5	181	292
Ann Lab Med	92	229	187	248
Best Pract Res Clin Obstet Gynaecol	58	229	170	250
Curr. Microbiol.	213	229	205	278
Diabetes Metab.	63	229	145.5	309
Environ. Toxicol. Pharmacol.	206	229	178	273
Exp. Gerontol.	181	229	176	320
J Tissue Viability	16	229	185.5	317
J. Clin. Periodontol.	21	229	175	317
J. Microbiol.	63	229	170	262
Prev Med	309	229	184	273
Acta Biomater	456	228	201	258
Acta Pharmacol. Sin.	105	228	198	263
Brain Behav. Immun.	209	228	173	305
Chem Biol Drug Des	81	228	209	273
Dtsch Arztebl Int	50	228	186	297
Eur J Surg Oncol	233	228	189	280
Genes Chromosomes Cancer	95	228	189.5	262.5
J Biomech Eng	67	228	189	275
J Interv Card Electrophysiol	85	228	196	258
J Microsc	84	228	170	282
J. Clin. Invest.	377	228	188	269
Jundishapur J Nat Pharm Prod	31	228	192	
Mol Ecol Resour	160	228	185.5	334
Spinal Cord	109	228	195	261
Am J Pharm Educ	76	227.5	204	248.5
Theriogenology	290	227.5	183	287
Anim. Reprod. Sci.	194	227	169	317
Clin Res Cardiol	83	227	192.5	268
J Mater Sci Mater Med	277	227	185	291
Micron	186	227	155	377
Mol. Neurobiol.	146	227	199	284
Nat. Cell Biol.	149	227	175	286
Recent Pat Anticancer Drug Discov	9	227	214	277
J. Cutan. Pathol.	94	226.5	168	525
Ann. Thorac. Surg.	1083	226	183	274
Australas Phys Eng Sci Med	29	226	154	291
Cancer Lett.	554	226	199	264
Colomb. Med.	52	226	189.5	325
Environ. Pollut.	559	226	194	269.5
Int J High Risk Behav Addict	36	226	138	
J Fluoresc	183	226	179	275
Neuromuscul. Disord.	112	226	175.5	278.5
Proteomics	289	226	179	284
Acad Emerg Med	82	225.5	208	251
Curr Neuropharmacol	34	225.5	194	274
Nature	702	225.5	168	302
Biochimie	246	225	188	276
BMC Immunol.	27	225	71	
Cancer Immunol. Immunother.	123	225	177	282
Curr. Mol. Med.	68	225	174	361
Geobiology	47	225	198	274
J Biomech	474	225	183	289
J. Dairy Sci.	831	225	189	270
Prog Retin Eye Res	36	225	207	286
Transl Stroke Res	38	225	134	266
Frontline Gastroenterol	10	224.5	209	235
Eur. J. Clin. Invest.	170	224	182	262
Fungal Biol	81	224	161	366
Hum. Cell	19	224	149.5	331
J Clin Pharmacol	201	224	168	413
J Negat Results Biomed	11	224	56.5	
Obes Rev	76	224	194	239
Ophthalmic Physiol Opt	72	224	181	241
Theor. Appl. Genet.	238	224	200	291
Amino Acids	210	223.5	165	368
Seizure	200	223.5	179	276
Appl Plant Sci	89	223	191	256
Asian J. Androl.	106	223	196	254
Clin. Rheumatol.	298	223	130	303
Dermatol Pract Concept	28	223	122	
Dev. Dyn.	119	223	162	260
Environ. Toxicol. Chem.	295	223	188	267.5
Eur. J. Intern. Med.	158	223	180	283
Inflammopharmacology	25	223	162	358
J Exp Zool A Ecol Genet Physiol	65	223	181	265
Radiol Oncol	59	223	165.5	
Adv Wound Care (New Rochelle)	44	222	147.5	302
Ann Fr Anesth Reanim	118	222	152	271
Emerg Radiol	85	222	197	253
Gastroenterology	371	222	162.5	299
Intensive Care Med	218	222	134	286
J Refract Surg	93	222	181	272
J. Hum. Genet.	68	222	165.5	245
J. Pediatr. Endocrinol. Metab.	192	222	82	
Metab Brain Dis	74	222	171	267
Microb Biotechnol	74	222	169	319
Mol. Ecol.	384	222	179	343.5
J Addict	28	221.5	36.5	
Bone	393	221	180	263
Gen. Comp. Endocrinol.	438	221	172	256
Genet. Epidemiol.	97	221	185	261
Prostate Cancer Prostatic Dis.	16	221	199.5	300
Protist	74	221	156	328
Traffic	95	221	169	287
Ultramicroscopy	143	221	197	319
Water Res.	677	221	185	251
Eur. J. Immunol.	344	220.5	185	283
Breed. Sci.	31	220	189	236
Exp. Hematol.	95	220	168.5	263
J Mech Behav Biomed Mater	271	220	172	283
Mol. Genet. Genomics	54	220	155	255
Pediatr. Neurol.	165	220	186	264
Plant Mol. Biol.	139	220	160	275
Talanta	904	220	171	266
Chir Main	71	219	190	275
Dev. Genes Evol.	33	219	193	253
Steroids	148	218.5	171	253
Ann Diagn Pathol	53	218	180	296
Cell Metab.	80	218	184	256
Doc Ophthalmol	37	218	192	293
Nat. Chem. Biol.	116	218	177.5	273.5
J Clin Pharm Ther	72	217	166	294.5
J. Cell. Mol. Med.	179	217	180	260
J. Inorg. Biochem.	185	217	184	276
Neonatology	140	217	67.5	
Pflugers Arch.	191	217	164	267
Phytomedicine	247	217	176	246
Turk J Haematol	66	217	143	435
Cell Tissue Res.	252	216.5	186	266
Bioorg. Chem.	29	216	182	249
Eur. J. Cancer	404	216	177	260.5
Front Neuroendocrinol	15	216	171	240
Hum. Mutat.	199	216	185	255
Nitric Oxide	76	216	160	272
Radiother Oncol	305	216	141	306
Salud Colect	9	216	168	265
Saudi Dent J	16	216	143	233
Transpl. Int.	130	216	182	293
Ann. Endocrinol. (Paris)	19	215	133	238.5
J. Mol. Neurosci.	229	215	167	255
J. Pineal Res.	55	215	161	232.5
Nat. Genet.	267	215	177	262
Prenat. Diagn.	125	215	177	245
Radiol Phys Technol	108	215	173	303.5
Semin Immunopathol	67	215	169	268
J. Mol. Cell. Cardiol.	220	214.5	167	248.5
Mol Clin Oncol	230	214.5	176	241
Neurobiol Learn Mem	130	214.5	153	278
Cell. Mol. Biol. Lett.	30	214	197	229
Dev. Biol.	373	214	164	265
Eur. J. Clin. Microbiol. Infect. Dis.	231	214	201	236
J Dtsch Dermatol Ges	59	214	169	252
Methods Inf Med	65	214	67	364
Mol Imaging Radionucl Ther	12	214	169	502.5
Neuropsychiatr	30	214	81	
Vet. Immunol. Immunopathol.	201	214	182	282
Cell. Mol. Immunol.	48	213.5	154.5	285
Rev Chilena Infectol	20	213.5	164.5	309.5
Eur. J. Nucl. Med. Mol. Imaging	259	213	175	250
Eur. J. Pediatr.	250	213	178	290
J Aging Stud	47	213	184	287
J Pharm Biomed Anal	443	213	161	314.5
J Psychosom Res	155	213	171	244
J Vasc Interv Radiol	219	213	178	271.5
J. Cardiovasc. Electrophysiol.	168	213	185	259
Korean Circ J	57	213	145	246
Syst. Appl. Microbiol.	78	213	196	268
Am. J. Obstet. Gynecol.	402	212.5	173	256
Eur J Vasc Endovasc Surg	238	212.5	164	253
FEMS Yeast Res.	55	212	151	241.5
J Med Life	115	212	182	260
J. Evol. Biol.	288	212	184	261
Matrix Biol.	64	212	179.5	318
Vet Comp Oncol	39	212	128.5	304
Head Neck Pathol	72	211.5	184	292
Ageing Res. Rev.	95	211	152	293.5
Braz. J. Med. Biol. Res.	101	211	175	251
Clin. Biochem.	306	211	170	259
EMBO Mol Med	162	211	162	262
Hum. Genet.	118	211	175	251
J. Reprod. Immunol.	51	211	197	286
Liver Transpl.	115	211	178.5	249.5
Mycotoxin Res	28	211	176	226.5
Nephrourol Mon	97	211	192	269
Physiol. Behav.	289	211	159	305
Plasmid	92	211	205	229
Spectrochim Acta A Mol Biomol Spectrosc	1071	211	170	262
Urolithiasis	57	211	153	264
J. Heart Lung Transplant.	118	210.5	168	237
Ann Chir Plast Esthet	52	210	158	337
Cell Rep	286	210	160	268
Clin. Pharmacol. Ther.	57	210	175	242
J Comput Chem	246	210	182	237
J Control Release	335	210	171	258.5
Malays J Med Sci	32	210	159	321
Eur. J. Pharmacol.	678	209.5	171	257
Glob Chang Biol	350	209.5	180	264
Mutat Res Genet Toxicol Environ Mutagen	8	209.5	208	216.5
Arch Orthop Trauma Surg	216	209	163.5	263
Indian J Pharm Sci	78	209	170	255
J. Am. Coll. Cardiol.	620	209	175	244.5
Prog. Lipid Res.	58	209	163	241
Transl Res	102	209	152	254
Evid Based Spine Care J	8	208.5	187.5	268
J. Huazhong Univ. Sci. Technol. Med. Sci.	56	208.5	148.5	291
Obes Facts	72	208.5	134.5	431.5
Pestic Biochem Physiol	68	208.5	175	284
Trop Med Health	28	208.5	99.5	495
Cancer Causes Control	223	208	166.5	250
Cell Mol Bioeng	5	208	136	208
Comput Biol Chem	46	208	170	274
Eur. J. Neurosci.	368	208	172	268.5
Gastroenterol Hepatol	43	208	159.5	324.5
J Labelled Comp Radiopharm	90	208	163	264
J Physiol Sci	75	208	159	245
Ann Gastroenterol	102	207.5	92	
EMBO J.	254	207.5	141	253
Eur J Med Genet	146	207.5	153	277
J Am Coll Radiol	200	207.5	125	245
Am. Heart J.	318	207	171	245
Am. J. Transplant.	368	207	167	257
BioSystems	87	207	137.5	292
J Mol Model	423	207	176	280
J Proteomics	410	207	168	291
J. Cereb. Blood Flow Metab.	160	207	175	248
Respir Med	276	206.5	177	257
Urol. Int.	282	206.5	78	368
Eur Heart J Acute Cardiovasc Care	29	206	164	258
J Res Med Sci	139	206	88	345.5
Neurogastroenterol. Motil.	156	206	161	261.5
Nucl Med Mol Imaging	60	206	176	261
Pathol. Res. Pract.	161	206	169	277
Schizophr. Res.	417	206	173	247
J Can Acad Child Adolesc Psychiatry	10	205.5	155	325
Arch. Pharm. Res.	206	205	156	314
Bull Environ Contam Toxicol	294	205	169	259
Enzyme Microb. Technol.	163	205	164	259
Exp. Eye Res.	242	205	156	245
Fungal Genet. Biol.	126	205	154	272
Histopathology	173	205	175	245
Nat Chem	155	205	163	249
Nuklearmedizin	42	205	121	
Prog. Neuropsychopharmacol. Biol. Psychiatry	278	205	178	246
Thromb. Haemost.	321	205	153	246
Curr. Opin. Neurobiol.	170	204.5	174	231
Oncol Lett	948	204.5	169	235
Anaerobe	110	204	163	268
Asian Pac. J. Allergy Immunol.	18	204	102	379
Biomed Tech (Berl)	23	204	166.5	272
Carbohydr Polym	1383	204	166	247
Imaging Sci Dent	25	204	171	261
Intervirology	63	204	124.5	361
J Am Oil Chem Soc	7	204	149.5	208
Updates Surg	28	204	135	382
Acta Haematol.	142	203.5	122	347
Andrology	135	203	154	251
Cell Biol. Int.	247	203	157	250
Clin Endosc	83	203	68.5	338
Dokl. Biol. Sci.	159	203	141	
Ecotoxicol. Environ. Saf.	361	203	169	240
Eur. J. Epidemiol.	90	203	132	257
Gene	1147	203	164	251
Hematol Rep	18	203	128	
Int J Endocrinol Metab	28	203	81.5	309.5
J Ophthalmic Vis Res	23	203	89.5	259.5
Mar. Environ. Res.	87	203	167	
Mol. Cell	233	203	159	300
Prog Nucl Magn Reson Spectrosc	24	203	156	270
Strahlenther Onkol	116	203	179	244
Urology	634	203	170	253
Auton Autacoid Pharmacol	5	202	202	329
Avicenna J Med Biotechnol	17	202	162	233
Clin. Immunol.	162	202	149	291
J. Comp. Physiol. A Neuroethol. Sens. Neural. Behav. Physiol.	105	202	166	262
J. Neurol.	301	202	169	255
J. Neurooncol.	307	202	171	241
J. Pathol.	113	202	131	254
Neuromolecular Med.	49	202	161	244
